CBD,LAT,LON,THK,SURF
980,-75.7879,-109.11,1299,784
981,-75.7812,-109.0565,1308,783
982,-75.7712,-109.0064,1388,787
983,-75.7679,-108.9613,1249,781
984,-75.7612,-108.9028,1239,770
985,-75.7546,-108.8594,1254,764
986,-75.7496,-108.8042,1206,748
987,-75.7429,-108.7474,1296,726
988,-75.7363,-108.699,1338,717
989,-75.7313,-108.6455,1357,716
990,-75.7246,-108.5954,1241,697
991,-75.7179,-108.5402,1358,673
992,-75.7129,-108.4934,,661
993,-75.7063,-108.4383,1470,665
994,-75.6996,-108.3882,1521,669
995,-75.6929,-108.3447,1546,677
996,-75.6863,-108.2879,,688
997,-75.6796,-108.2361,1293,681
998,-75.6746,-108.191,1346,658
999,-75.668,-108.1376,1384,647
1000,-75.6629,-108.094,1390,642
1001,-75.6563,-108.0423,1447,626
1002,-75.653,-107.9904,1483,606
1003,-75.6496,-107.9387,1514,594
1004,-75.6463,-107.8918,,584
1005,-75.643,-107.8367,,580
1006,-75.6413,-107.7866,1468,583
1007,-75.6396,-107.7381,1412,594
1008,-75.6363,-107.6846,1388,592
1009,-75.6346,-107.6395,1348,585
1010,-75.6346,-107.591,1347,575
1011,-75.633,-107.5359,1330,569
1012,-75.6313,-107.4874,,
1013,-75.6313,-107.4389,1353,570
1014,-75.6297,-107.3855,1339,571
1015,-75.6297,-107.3353,1334,561
1016,-75.6247,-107.2935,1360,545
1017,-75.623,-107.2316,1409,524
1018,-75.623,-107.1848,1437,508
1019,-75.6213,-107.1314,1555,506
1020,-75.6196,-107.0779,1542,516
1021,-75.6196,-107.031,1556,538
1022,-75.618,-106.9776,1572,555
1023,-75.6163,-106.9258,1364,546
1024,-75.6163,-106.8773,1368,519
1025,-75.6114,-106.8322,1360,497
1026,-75.6114,-106.7737,1351,489
1027,-75.6114,-106.7269,1331,483
1028,-75.6097,-106.6817,1355,484
1029,-75.6064,-106.6266,1217,494
1030,-75.6064,-106.5798,1168,499
1031,-75.6047,-106.5313,1196,491
1032,-75.6014,-106.4778,1203,491
1033,-75.6014,-106.4344,1203,497
1034,-75.5997,-106.3875,,
1035,-75.598,-106.3357,1197,491
1036,-75.5964,-106.2873,1198,485
1037,-75.5947,-106.2354,1163,496
1038,-75.593,-106.1836,1145,505
1039,-75.5897,-106.1418,1147,503
1040,-75.5897,-106.0967,1151,501
1041,-75.588,-106.0449,1162,495
1042,-75.5864,-105.9964,1260,483
1043,-75.5847,-105.9462,1267,482
1044,-75.5831,-105.8927,1399,496
1045,-75.5814,-105.8426,1199,508
1046,-75.5781,-105.7975,1309,507
1047,-75.5764,-105.7473,1312,503
1048,-75.5747,-105.6922,1334,505
1049,-75.5747,-105.6471,1360,507
1050,-75.5714,-105.5969,1258,520
1051,-75.568,-105.5518,1305,535
1052,-75.5681,-105.5066,1233,540
1053,-75.5681,-105.4531,1202,543
1054,-75.5647,-105.413,1224,549
1055,-75.5647,-105.3612,1234,556
1056,-75.5614,-105.3194,1291,562
1057,-75.5614,-105.2726,1269,562
1058,-75.5597,-105.2275,1267,555
1059,-75.5564,-105.1823,1236,552
1060,-75.5547,-105.1439,1202,560
1061,-75.5547,-105.097,1207,562
1062,-75.5514,-105.0519,1156,558
1063,-75.5514,-105.0051,1173,533
1064,-75.5447,-104.9683,1112,501
1065,-75.5314,-104.9516,1128,489
1066,-75.5164,-104.9616,1138,484
1067,-75.4998,-104.9983,1096,467
1068,-75.4865,-105.0483,1146,461
1069,-75.4731,-105.0966,1096,450
1070,-75.4598,-105.14,1098,411
1071,-75.4415,-105.1817,1198,391
1072,-75.4282,-105.215,,377
1073,-75.4132,-105.2534,958,336
1074,-75.3932,-105.2884,868,283
1075,-75.3783,-105.3234,969,249
1076,-75.3633,-105.3568,988,247
1077,-75.3466,-105.3934,914,226
1078,-75.3316,-105.4268,914,209
1079,-75.315,-105.4585,836,189
1080,-75.2984,-105.4935,745,153
1081,-75.2817,-105.5285,709,111
1082,-75.2684,-105.5618,711,92
1083,-75.2501,-105.5935,706,90
1084,-75.2351,-105.6319,664,72
1085,-75.2201,-105.6585,603,50
1086,-75.2034,-105.6969,590,44
1087,-75.1885,-105.7219,588,41
1088,-75.1768,-105.7502,600,41
1089,-75.1568,-105.7868,594,44
1090,-75.1435,-105.8168,597,44
1091,-75.1302,-105.8468,566,40
1092,-75.1119,-105.8802,436,35
